기준연월,고객광역시군구명,전체이용건수,전체이용금액
202305,대구광역시,78875,2212669292
202305,전라남도,61769,1865939173
202305,제주특별자치도,12535,328688054
202306,경상남도,101719,2797644389
202306,광주광역시,55953,1577257563
202306,대전광역시,274316,9344654007
202307,강원특별자치도,30405,802899280
202307,세종특별자치시,77147,2758507065
202307,울산광역시,28447,855583501
202307,인천광역시,193216,6162287932
202307,전라북도,109001,3480249977
202307,충청북도,109184,3856829801
202308,경기도,1234754,39253065345
202308,경상북도,71057,2171554469
202309,부산광역시,85162,2492554081
202309,서울특별시,705462,23452782354
202310,경상남도,94857,2958133232
202310,광주광역시,50156,1573205340
202310,대전광역시,254583,9122872947
201901,대구광역시,53039,1978482481
201901,전라남도,53761,1804883887
201901,제주특별자치도,10229,305777812
201902,경상남도,74804,2326379722
201902,광주광역시,40618,1081678837
201902,대전광역시,222227,7320111668
201903,세종특별자치시,93244,3148964176
201903,울산광역시,32803,1053176831
201903,인천광역시,232707,6001934897
201903,전라북도,130499,4016237525
201903,충청북도,129854,3824034873
201904,강원도,37793,995786232
201904,경기도,1370797,37334675676
201904,경상북도,77641,2264873330
201905,부산광역시,91557,2747322888
201905,서울특별시,773812,23698028626
201906,대구광역시,65496,1914746676
201906,전라남도,59099,1637430875
201906,제주특별자치도,12844,329899330
201907,경상남도,94488,2751898856
201907,광주광역시,49603,1357293973
201907,대전광역시,286376,8975317602
201908,세종특별자치시,100674,3348438680
201908,울산광역시,33242,1016586771
201908,인천광역시,242740,6719581952
201908,전라북도,143719,4108885737
201908,충청북도,145160,4439410801
201909,강원도,36647,948230805
201909,경기도,1376223,36688096300
201909,경상북도,74173,2091353730
201910,대구광역시,71354,2163238850
201910,전라남도,65440,1895964821
201910,제주특별자치도,13807,329466780
201911,경상남도,94205,2782710449
201911,광주광역시,51251,1422851599
201911,대전광역시,265834,8823443303
201912,세종특별자치시,83299,3142465203
201912,울산광역시,28753,1085380211
201912,인천광역시,198472,5494371207
201912,전라북도,122118,3981199802
201912,충청북도,116277,3708602225
202001,세종특별자치시,81615,2844012945
202001,울산광역시,26404,840401421
202001,인천광역시,182456,5225747473
202001,전라북도,114418,3593846881
202001,충청북도,108773,3434497753
202002,강원도,25374,738483903
202002,경기도,845806,26133606102
202002,경상북도,58173,1778917968
202003,부산광역시,67775,2273545114
202003,서울특별시,480265,15929087544
202004,대구광역시,53261,1543450706
202004,전라남도,46410,1464181652
202004,제주특별자치도,9124,249723268
202005,경상남도,87620,2453945015
202005,광주광역시,45488,1244984246
202005,대전광역시,270897,8526744175
202006,세종특별자치시,83970,2727616181
202006,울산광역시,28385,805200012
202006,인천광역시,207815,5541234201
202006,전라북도,113656,3337148724
202006,충청북도,119482,3556103939
202007,강원도,30770,783476793
202007,경기도,1182253,33777757801
202007,경상북도,71977,1973409677
202008,부산광역시,79975,2363480167
202008,서울특별시,672492,20435995830
202009,대구광역시,57185,1692220714
202009,전라남도,44043,1368365444
202009,제주특별자치도,8730,216697445
202010,세종특별자치시,82584,2851931493
202010,울산광역시,27492,837170821
202010,인천광역시,215024,5924836994
202010,전라북도,114953,3623538495
202010,충청북도,122123,3806796516
202011,강원도,28371,767769987
202011,경기도,1094865,32398667276
202011,경상북도,67394,1996365221
202012,부산광역시,72267,2368923854
202012,서울특별시,531675,19059972790
202101,강원도,22954,691413361
202101,경기도,853327,26804099060
202101,경상북도,57922,1780771970
202102,부산광역시,66005,2190323026
202102,서울특별시,512006,17413320280
202103,대구광역시,58300,1662536925
202103,전라남도,46832,1498843879
202103,제주특별자치도,8756,234910904
202104,경상남도,88677,2623596426
202104,광주광역시,41552,1248456214
202104,대전광역시,246554,8664945763
202105,세종특별자치시,79563,2836559286
202105,울산광역시,32591,1031353486
202105,인천광역시,208142,6070515296
202105,전라북도,115891,3648394035
202105,충청북도,112372,3646703832
202106,강원도,30196,809616400
202106,경기도,1158417,34954646365
202106,경상북도,71975,2005259641
202107,부산광역시,86674,2606336196
202107,서울특별시,643114,21554320172
202108,대구광역시,60787,1740841441
202108,전라남도,49362,1544023909
202108,제주특별자치도,8750,230980964
202109,경상남도,84166,2457243884
202109,광주광역시,40535,1274658630
202109,대전광역시,237482,8716856762
202110,강원도,28721,797854895
202110,경기도,1157402,35805679337
202110,경상북도,68624,2013607679
202111,부산광역시,80868,2699416720
202111,서울특별시,588659,20799022157
202112,대구광역시,54848,1719696611
202112,전라남도,40717,1475495074
202112,제주특별자치도,7674,235389554
202201,부산광역시,69454,2260229942
202201,서울특별시,481190,17038721535
202202,대구광역시,43937,1344499149
202202,전라남도,33073,1160592705
202202,제주특별자치도,6739,193732089
202203,경상남도,82509,2458994121
202203,광주광역시,40290,1291526746
202203,대전광역시,217218,9194524224
202204,세종특별자치시,76778,3280359861
202204,울산광역시,29483,922012657
202204,인천광역시,212294,6724710624
202204,전라북도,109469,3881949470
202204,충청북도,109628,4074349699
202205,강원도,33664,991929632
202205,경기도,1344395,43650512674
202205,경상북도,76008,2427394109
202206,부산광역시,87605,2739995517
202206,서울특별시,657308,22987422680
202207,대구광역시,68929,2144657203
202207,전라남도,50613,1855053379
202207,제주특별자치도,9438,305572267
202208,경상남도,94067,2858387810
202208,광주광역시,49132,1612716681
202208,대전광역시,253543,9275911981
202209,세종특별자치시,82738,3248470294
202209,울산광역시,30683,892006354
202209,인천광역시,229174,7068890086
202209,전라북도,114082,3981830008
202209,충청북도,118719,4098958350
202210,부산광역시,92534,2844584051
202210,서울특별시,702910,23665462873
202211,대구광역시,69492,2166486256
202211,전라남도,51170,1727890345
202211,제주특별자치도,9537,281077843
202212,경상남도,86136,2702956981
202212,광주광역시,43183,1431545968
202212,대전광역시,203168,7911197793
202301,대구광역시,56598,1779682353
202301,전라남도,44560,1567834398
202301,제주특별자치도,8622,252405321
202302,경상남도,79436,2395741585
202302,광주광역시,41265,1232820714
202302,대전광역시,197495,7082712335
202303,세종특별자치시,78874,3059633108
202303,울산광역시,29292,905891630
202303,인천광역시,202371,6118616731
202303,전라북도,113776,3790838211
202303,충청북도,109128,3836451654
202304,강원도,35778,954319785
202304,경기도,1323583,40725753040
202304,경상북도,84350,2497807209
202305,부산광역시,101846,2915846092
